	BCGY	CCHN	CCNG	CDNG	CKEY	CKIM	DCGY	DDNG	DDON	DKIM	EKIM	GCGY	GCHN	GKES	GKIM	HDSK	HKES	IKES	JDNG	JKES	JKIM	ZSUN	KCHN	KKEY	KKIM	NKES	RDNG	SCYD	SDNG	YCGY	YDON	YKEY	YKIM	YSEO	YSNG	ZKES
GCHN	25.806194302004457	9.511767502835614	23.649149377004328	20.276427817521764	23.927468910615318	23.749424003868796	25.789023903994508	19.999285859938947	24.71279666495779	23.749424003868796	23.748654816004834	25.906530641056598	0	23.608309267954358	23.758979229928585	23.67198148375218	23.685825372264702	23.689784894094043	20.231114975276146	23.794139119878942	23.775246959023093	23.842546753612922	13.405391843451481	23.930278296069837	23.645825156272664	23.747499795604455	20.231114975276146	23.67604424376993	20.230022145454033	24.240861114706917	24.634198048598186	23.93242887883436	23.749424003868796	23.955062682585037	23.72430156963664	23.62845022684095
GKES	23.38531995799567	23.58421769780545	10.323906466401153	23.09424896991045	9.454993905626523	12.037780414297474	23.3460355909843	23.093765675854648	21.936059238154865	12.058613747630808	12.093993711952395	23.131414814444014	23.608309267954358	0	12.05265913722447	8.415515702038169	15.440686535779065	16.28757107992177	23.089781587727355	10.258364041393639	8.358429821987382	10.585279861572959	24.51962836636259	9.65073589180269	11.387431076127127	16.239716985121948	23.089781587727355	8.449692097265162	23.11899211404314	17.29315058320583	22.136049041029015	9.496410862940081	12.058613747630808	10.633740961962307	10.238550779269579	8.77643805456331
GKIM	23.42252849282881	23.7318641457979	8.605770321928338	23.0318221111139	9.056344962159507	23.09051305269845	23.382597078727247	23.03310117438515	21.860106552462337	22.111789648443132	23.197585486881124	23.160252000345018	23.758979229928585	12.05265913722447	0	8.00952667405493	14.04886762947306	13.822578911840626	23.02736043364441	9.489939927843842	8.227106446450133	10.389200137972106	24.681655225917932	9.257172855138204	13.832304098083233	13.89439166978375	23.02736043364441	8.045482232171995	23.056570959960197	17.09363135781712	22.0535715430334	9.098606721111054	22.111789648443132	9.473195871116964	11.057257622919996	8.189820059294984
HDSK	23.24195597301967	23.650621913503645	6.801507326959043	23.058382999552375	9.578506097467498	7.940566456194848	23.20095274745235	23.047795895586077	21.72346575839413	7.919752395140268	7.095302325432223	22.985241575662833	23.67198148375218	8.415515702038169	8.00952667405493	0	7.270547653136532	8.204941221037148	23.054058712639502	6.906321891729544	6.757467629519834	6.840319731721951	24.610596705580942	9.782867540955948	8.26020372946979	8.279091729011185	23.054058712639502	18.196898287694296	23.083269238955292	17.264905013652854	21.934539800789373	9.621957468819218	7.919752395140268	8.887641853475305	9.444471836687883	7.354663692413877
HKES	23.501630360145587	23.662075016689496	10.401450288145936	23.06878222293052	9.456545077523062	14.032144662874721	23.46200860243638	23.0580558128353	21.872081117489167	14.053197294453668	15.076092536509595	23.23966352405415	23.685825372264702	15.440686535779065	14.04886762947306	7.270547653136532	0	20.27457039371089	23.064318629888728	9.31916354491303	8.344101942299835	10.554365017878467	24.618311523721733	9.657297821260022	11.36634968071255	19.290733879494628	23.064318629888728	7.29514826863263	23.093529156204514	17.250460632229206	22.070263318173044	9.498575100277566	14.053197294453668	10.66512811094623	11.133322645098087	7.864519352514427
IKES	23.5004239659191	23.665984454358853	10.233814433944929	23.05119374897281	9.29914798674489	14.793345769611541	23.460802208209895	23.047242138501822	21.836598258296778	14.814398401190488	15.846125460572363	23.237366734578426	23.689784894094043	16.28757107992177	13.822578911840626	8.204941221037148	20.27457039371089	0	23.04673015593102	10.08027106625523	9.099861829947507	10.387506647725903	24.62220729139145	9.500652995600657	12.129292259335974	25.126264871451482	23.04673015593102	8.244741335294387	23.075940682246806	17.21637086466779	22.03472349839738	9.34132268812616	14.814398401190488	11.469444191912272	10.000586555354102	8.62488452436348
JDNG	25.434393408565384	20.24613472530868	23.026290565281347	14.21953744231316	23.491364202405897	23.02799952752319	25.465884532591772	19.003090653286822	24.412780556980657	23.02799952752319	23.038114053692798	25.48538620355924	20.231114975276146	23.089781587727355	23.02736043364441	23.054058712639502	23.064318629888728	23.04673015593102	0	23.087909914774322	23.15096504562149	23.072373719037106	21.58140733939116	23.5165080395579	23.104086650381653	23.03121624542587	29.010928961748633	23.051746173988658	19.131404392777576	23.949599861318763	24.447879601955524	23.514867580838498	23.02799952752319	23.09777186562564	23.16847405114662	23.398692790672577
JKES	23.541509604711422	23.77731997846676	8.87964818234536	23.092373507816113	9.780239038039799	9.497668638201615	23.501625511786873	23.102393118908687	22.045103581856775	9.518945233946296	9.541789233211672	23.28577338146106	23.794139119878942	10.258364041393639	9.489939927843842	6.906321891729544	9.31916354491303	10.08027106625523	23.087909914774322	0	6.753810676013042	8.00047608564696	24.6760736746949	10.015732086573257	8.771472555166433	10.13600478599576	23.087909914774322	6.907484816766299	23.113014626816206	17.36068252531984	22.258573577610708	9.834947322229716	9.518945233946296	8.13250995962921	7.657451508189396	9.315188172922348
JKIM	23.500004404366297	23.755992527865804	6.796335106805716	23.155651109072057	9.448828989760502	9.206678467622925	23.459470772190613	23.138831077156514	21.96425011345668	9.227955063367608	10.043589254551694	23.24808349133023	23.775246959023093	8.358429821987382	8.227106446450133	6.757467629519834	8.344101942299835	9.099861829947507	23.15096504562149	6.753810676013042	0	6.627929779976545	24.73808488106663	8.662709389593529	5.634649369503995	8.225435068945133	23.15096504562149	6.810632027102725	23.150162528929144	18.160474541103884	22.027791768844025	8.49010799042433	9.227955063367608	6.775787550023456	6.617406966503427	6.443109829211375
ZSUN	23.409082411992244	23.82166378592196	9.848429530393023	23.07683429597153	8.370235566885608	10.388675432245579	23.369255123883132	23.078114459777844	21.845133297852595	10.409728063824526	9.469632627847858	23.17910376635905	23.842546753612922	10.585279861572959	10.389200137972106	6.840319731721951	10.554365017878467	10.387506647725903	23.072373719037106	8.00047608564696	6.627929779976545	0	24.745658497255448	8.593168963498046	9.741868210319469	10.429005870636441	23.072373719037106	6.878802325072749	23.101584245352893	17.41577664806942	21.92416593954473	8.41430724951184	10.409728063824526	8.68623030629088	9.759507689070151	8.680924434706256
KCHN	26.292186245094367	14.39624039500489	24.592942438637944	21.627030816012198	24.900491604779948	24.684299951160366	26.265309881480544	21.345703229290443	25.375745302555643	24.684299951160366	24.681655225917932	26.3826887659445	13.405391843451481	24.51962836636259	24.681655225917932	24.610596705580942	24.618311523721733	24.62220729139145	21.58140733939116	24.6760736746949	24.73808488106663	24.745658497255448	0	24.91520575213923	24.586187086704168	24.655876003038546	21.58140733939116	24.614694503914272	21.580314509569046	25.099098482809257	25.364827864091446	24.903063346627572	24.684299951160366	24.905465329679448	24.68806376488539	24.60458566392938
KKEY	23.08705957593422	23.98806927570462	9.429284686150371	23.519100218442404	17.389992075984658	9.242851177628484	23.0514995541134	23.531093792750053	21.577263444117662	9.265386066669894	9.34008283624938	22.942774272119248	23.930278296069837	9.65073589180269	9.257172855138204	9.782867540955948	9.657297821260022	9.500652995600657	23.5165080395579	10.015732086573257	8.662709389593529	8.593168963498046	24.91520575213923	0	8.480179659106446	9.564780982011793	23.5165080395579	9.78013073607978	23.515240472735083	17.61888003945653	21.7645018119273	14.573770908318604	9.265386066669894	9.683123299556668	9.841111738045866	10.288498553129164
